crim,dust,reservation,distance,like,review,price
0.21409,0.431,6.438,7.3967,377.07,31.41,44640
0.08221,0.431,6.957,8.9067,386.09,31.47,53280
0.36894,0.431,8.259,8.9067,396.9,31.46,77040
0.04819,0.392,6.108,9.2203,392.89,28.43,39420
0.03548,0.392,5.876,9.2203,395.18,25.75,37620
0.01538,0.394,7.454,6.3361,386.34,31.89,79200
0.61154,0.647,8.704,1.801,389.7,29.88,90000
0.66351,0.647,7.333,1.8946,383.29,27.21,64800
0.65665,0.647,6.842,2.0107,391.93,28.1,54180
0.54011,0.647,7.203,2.1121,392.8,25.41,60840
0.53412,0.647,7.52,2.1398,388.37,27.74,77580
0.52014,0.647,8.398,2.2885,386.86,29.09,87840
0.82526,0.647,7.327,2.0788,393.42,23.75,55800
0.55007,0.647,7.206,1.9301,387.89,26.9,65700
0.76162,0.647,5.56,1.9865,392.4,24.55,41040
0.7857,0.647,7.014,2.1329,384.07,20.21,55260
0.57834,0.575,8.297,2.4216,384.54,27.56,90000
0.5405,0.575,7.47,2.872,390.3,31.84,78300
0.09065,0.464,5.92,3.9175,391.34,21.35,37260
0.29916,0.464,5.856,4.429,388.65,22,37980
0.16211,0.464,6.24,4.429,396.9,28.41,45360
0.1146,0.464,6.538,3.9175,394.96,27.27,43920
0.22188,0.464,7.691,4.3665,390.77,28.42,63360
0.05644,0.447,6.758,4.0776,396.9,31.47,58320
0.09604,0.447,6.854,4.2673,396.9,32.02,57600
0.10469,0.447,7.267,4.7872,389.25,28.95,59760
0.06127,0.447,6.826,4.8628,393.45,30.84,59580
0.07978,0.447,6.482,4.1403,396.9,27.81,52380
0.21038,0.4429,6.812,4.1007,396.9,30.15,63180
0.03578,0.4429,7.82,4.6947,387.31,31.24,81720
0.03705,0.4429,6.968,5.2447,392.23,30.41,63720
0.06129,0.4429,7.645,5.2119,377.07,31.99,82800
0.01501,0.401,7.923,5.885,395.52,31.84,90000
0.00906,0.4,7.088,7.3073,394.72,27.15,57960
0.01096,0.389,6.453,7.3073,394.72,26.77,39600
0.01965,0.385,6.23,9.0892,341.6,22.07,36180
0.03871,0.405,6.209,7.3172,396.9,27.86,41760
0.0459,0.405,6.315,7.3172,396.9,27.4,40140
0.04297,0.405,6.565,7.3172,371.72,25.49,44640
0.03502,0.411,6.861,5.1167,396.9,31.67,51300
0.07886,0.411,7.148,5.1167,396.9,31.44,67140
0.03615,0.411,6.63,5.1167,396.9,30.3,50220
0.08265,0.437,6.127,5.5027,396.9,26.42,43020
0.08199,0.437,6.009,5.5027,396.9,24.6,39060
0.12932,0.437,6.678,5.9604,396.9,28.73,51480
0.05372,0.437,6.549,5.9604,392.85,27.61,48780
0.14103,0.437,5.79,6.32,396.9,19.16,36540
0.06466,0.4,6.345,7.8278,368.24,30.03,40500
0.05561,0.4,7.041,7.8278,371.58,30.26,52200
0.04417,0.4,6.871,7.8278,390.86,28.93,44640
0.03537,0.433,6.59,5.4917,395.75,25.5,39600
0.09266,0.433,6.495,5.4917,383.61,26.33,47520
0.1,0.433,6.982,5.4917,390.43,30.14,59580
0.05515,0.472,7.236,4.022,393.68,28.07,64980
0.05479,0.472,6.616,3.37,393.36,26.07,51120
0.07503,0.472,7.42,3.0992,396.9,28.53,60120
0.04932,0.472,6.849,3.1827,396.9,27.47,50760
0.49298,0.544,6.635,3.3175,396.9,30.46,41040
0.3494,0.544,5.972,3.1025,396.24,25.03,36540
2.63548,0.544,4.973,2.5194,350.45,22.36,28980
0.79041,0.544,6.122,2.6403,396.9,29.02,39780
0.26169,0.544,6.023,2.834,396.3,23.28,34920
0.26938,0.544,6.266,3.2628,393.39,27.1,38880
0.3692,0.544,6.567,3.6023,395.69,25.72,42840
0.25356,0.544,5.705,3.945,396.42,23.5,29160
0.31827,0.544,5.914,3.9986,390.7,16.67,32040
0.24522,0.544,5.782,4.0317,396.9,19.06,35640
0.40202,0.544,6.382,3.5325,395.21,24.64,41580
0.47547,0.544,6.113,4.0019,396.23,22.27,37800
0.1676,0.493,6.426,4.5404,396.9,27.8,42840
0.18159,0.493,6.376,4.5404,396.9,28.13,41580
0.35114,0.493,6.041,4.7211,396.9,27.3,36720
0.28392,0.493,5.708,4.7211,391.13,23.26,33300
0.34109,0.493,6.415,4.7211,396.9,28.88,45000
0.19186,0.493,6.431,5.4159,393.68,29.92,44280
0.30347,0.493,6.312,5.4159,396.9,28.85,41400
0.24103,0.493,6.083,5.4159,396.9,22.21,39960
0.06617,0.46,5.868,5.2146,382.44,25.03,34740
0.06724,0.46,6.333,5.2146,375.21,27.66,40680
0.04544,0.46,6.144,5.8736,368.57,25.91,35640
0.05023,0.4379,5.706,6.6407,394.02,22.57,30780
0.03466,0.4379,6.031,6.6407,362.25,27.17,34920
0.05083,0.515,6.316,6.4584,389.71,29.32,39960
0.03738,0.515,6.31,6.4584,389.4,28.25,37260
0.03961,0.515,6.037,5.9853,396.9,26.99,37980
0.03427,0.515,5.869,5.2311,396.9,25.2,35100
0.03041,0.515,5.895,5.615,394.81,24.44,33300
0.03306,0.515,6.059,4.8122,396.14,26.49,37080
0.05497,0.515,5.985,4.8122,396.9,25.26,34200
0.06151,0.515,5.968,4.8122,396.9,25.71,33660
0.01301,0.442,7.241,7.0379,394.74,29.51,58860
0.02498,0.518,6.54,6.2669,389.96,26.35,29700
0.02543,0.484,6.696,5.7321,396.9,27.82,43020
0.03049,0.484,6.874,6.4654,387.97,30.39,56160
0.03113,0.442,6.014,8.0136,385.64,24.47,31500
0.06162,0.442,5.898,8.0136,364.61,22.33,30960
0.0187,0.429,6.516,8.5353,392.43,28.64,41580
0.01501,0.435,6.635,8.344,390.94,29.01,44100
0.02899,0.429,6.939,8.7921,389.85,29.11,47880
0.06211,0.429,6.49,8.7921,396.9,29.02,41220
0.0795,0.411,6.579,10.7103,370.78,29.51,43380
0.07244,0.411,5.884,10.7103,392.33,27.21,33480
0.01709,0.41,6.728,12.1265,384.46,30.5,54180
0.04301,0.413,5.663,10.5857,382.8,26.95,32760
0.10659,0.413,5.936,10.5857,376.04,29.43,37080
8.98296,0.77,6.212,2.1222,377.73,17.4,32040
3.8497,0.77,6.395,2.5052,391.34,21.73,39060
5.20177,0.77,6.127,2.7227,395.43,23.52,40860
4.26131,0.77,6.112,2.5091,390.74,22.33,40680
4.54192,0.77,6.398,2.5182,374.56,27.21,45000
3.83684,0.77,6.251,2.2955,350.65,20.81,35820
3.67822,0.77,5.362,2.1036,380.79,24.81,37440
4.22239,0.77,5.803,1.9047,353.04,20.36,30240
3.47428,0.718,8.78,1.9047,354.55,29.71,39420
4.55587,0.718,3.561,1.6132,354.7,27.88,49500
3.69695,0.718,4.963,1.7523,316.03,21,39420
13.5222,0.631,3.863,1.5106,131.42,21.67,41580
4.89822,0.631,4.97,1.3325,375.52,31.74,90000
5.66998,0.631,6.683,1.3567,375.33,31.27,90000
6.53876,0.631,7.016,1.2024,392.05,32.04,90000
9.2323,0.631,6.216,1.1691,366.15,25.47,90000
8.26725,0.668,5.875,1.1296,347.88,26.12,90000
11.1081,0.668,4.906,1.1742,396.9,0.23,24840
18.4982,0.668,4.138,1.137,396.9,0.97,24840
19.6091,0.671,7.313,1.3163,396.9,21.56,27000
15.288,0.671,6.649,1.3449,363.02,11.76,25020
9.82349,0.671,6.794,1.358,396.9,13.76,23940
23.6482,0.671,6.38,1.3861,396.9,11.31,23580
17.8667,0.671,6.223,1.3861,393.74,13.22,18360
88.9762,0.671,6.968,1.4165,396.9,17.79,18720
15.8744,0.671,6.545,1.5192,396.9,13.92,19620
9.18702,0.7,5.536,1.5804,396.9,11.4,20340
7.99248,0.7,5.52,1.5331,396.9,10.44,22140
20.0849,0.7,4.368,1.4395,285.83,4.37,15840
16.8118,0.7,5.277,1.4261,396.9,4.19,12960
24.3938,0.7,4.652,1.4672,396.9,6.72,18900
22.5971,0.7,5,1.5184,396.9,3.01,13320
14.3337,0.7,4.88,1.5895,372.92,4.38,18360
8.15174,0.7,5.39,1.7281,396.9,14.15,20700
6.96215,0.7,5.713,1.9265,394.43,17.89,27180
5.29305,0.7,6.051,2.1678,378.38,16.24,41760
11.5779,0.7,5.036,1.77,396.9,9.32,17460
8.64476,0.693,6.193,1.7912,396.9,19.83,24840
13.3598,0.693,5.887,1.7821,396.9,18.65,22860
8.71675,0.693,6.471,1.7257,391.98,17.88,23580
5.87205,0.693,6.405,1.6768,396.9,15.63,22500
7.67202,0.693,5.747,1.6334,393.1,15.08,15300
38.3518,0.693,5.453,1.4896,396.9,4.41,9000
9.91655,0.693,5.852,1.5004,338.16,5.03,11340
25.0461,0.693,5.987,1.5888,396.9,8.23,10080
14.2362,0.693,6.343,1.5741,396.9,14.68,12960
9.59571,0.693,6.404,1.639,376.11,14.69,21780
24.8017,0.693,5.349,1.7028,396.9,15.23,14940
41.5292,0.693,5.531,1.6074,329.46,7.62,15300
67.9208,0.693,5.683,1.4254,384.97,12.02,9000
20.7162,0.659,4.138,1.1781,370.22,11.66,21420
11.9511,0.659,5.608,1.2852,332.09,22.87,50220
7.40389,0.597,5.617,1.4547,314.64,8.6,30960
14.4383,0.597,6.852,1.4655,179.36,15.22,49500
51.1358,0.597,5.757,1.413,2.6,24.89,27000
14.0507,0.597,6.657,1.5275,35.05,13.78,30960
18.811,0.597,4.628,1.5539,28.79,0.63,32220
28.6558,0.597,5.155,1.5894,210.97,14.92,29340
45.7461,0.693,4.519,1.6582,88.27,0.98,12600
18.0846,0.679,6.434,1.8347,27.25,5.95,12960
10.8342,0.679,6.782,1.8195,21.57,9.21,13500
25.9406,0.679,5.304,1.6475,127.36,8.36,18720
73.5341,0.679,5.957,1.8026,16.45,14.38,15840
11.8123,0.718,6.824,1.794,48.45,12.26,15120
11.0874,0.718,6.411,1.8589,318.75,19.98,30060
7.02259,0.718,6.006,1.8746,319.98,19.3,25560
12.0482,0.614,5.648,1.9512,291.55,20.9,37440
7.05042,0.614,6.103,2.0218,2.52,11.71,24120
8.79212,0.584,5.565,2.0635,3.65,17.84,21060
15.8603,0.679,5.896,1.9096,7.68,10.61,14940
12.2472,0.584,5.837,1.9976,24.65,19.31,18360
37.6619,0.679,6.202,1.8629,18.82,20.48,19620
7.36711,0.679,6.193,1.9356,96.73,13.48,19800
9.33889,0.679,6.38,1.9682,60.72,10.92,17100
8.49213,0.584,6.348,2.0527,83.45,17.36,26100
10.0623,0.584,6.833,2.0882,81.33,15.31,25380
6.44405,0.584,6.425,2.2004,97.95,22.97,28980
5.58107,0.713,6.436,2.3158,100.19,18.78,25740
13.9134,0.713,6.208,2.2222,100.63,19.83,21060
11.1604,0.74,6.629,2.1247,109.85,11.73,24120
14.4208,0.74,6.461,2.0026,27.49,16.95,17280
15.1772,0.74,6.152,1.9142,9.32,8.55,15660
13.6781,0.74,5.935,1.8206,68.95,0.98,15120
9.39063,0.74,5.627,1.8172,396.9,12.12,23040
22.0511,0.74,5.818,1.8662,391.45,12.89,18900
9.72418,0.74,6.406,2.0651,385.96,15.48,30780
5.66637,0.74,6.219,2.0048,395.69,18.41,33120
9.96654,0.74,6.485,1.9784,386.73,16.15,27720
12.8023,0.74,5.854,1.8956,240.52,11.21,19440
10.6718,0.74,6.459,1.9879,43.06,11.02,21240
6.28807,0.74,6.341,2.072,318.01,17.21,26820
9.92485,0.74,6.251,2.198,388.52,18.56,22680
9.32909,0.713,6.185,2.2616,396.9,16.87,25380
7.52601,0.713,6.417,2.185,304.21,15.69,23400
6.71772,0.713,6.749,2.3236,0.32,17.56,24120
5.44114,0.713,6.655,2.3552,355.29,17.27,27360
5.09017,0.713,6.297,2.3682,385.09,17.73,28980
8.24809,0.713,7.393,2.4527,375.87,18.26,32040
9.51363,0.713,6.728,2.4961,6.68,16.29,26820
4.75237,0.713,6.525,2.4358,50.92,16.87,25380
4.66883,0.713,5.976,2.5806,10.48,15.99,22860
8.20058,0.713,5.936,2.7792,3.5,18.06,24300
7.75223,0.713,6.301,2.7831,272.21,18.77,26820
6.80117,0.713,6.081,2.7175,396.9,20.3,36000
4.81213,0.713,6.701,2.5975,255.23,18.58,29520
3.69311,0.713,6.376,2.5671,391.43,20.35,31860
6.65492,0.713,6.317,2.7344,396.9,21.01,35100
5.82115,0.713,6.513,2.8016,393.82,24.71,36360
7.83932,0.655,6.209,2.9634,396.9,21.78,38520
3.1636,0.655,5.759,3.0665,334.4,20.87,35820
3.77498,0.655,5.952,2.8715,22.01,17.85,34200
4.42228,0.584,6.003,2.5403,331.29,13.68,34380
15.5757,0.58,5.926,2.9084,368.74,16.87,34380
13.0751,0.58,5.713,2.8237,396.9,20.24,36180
4.34879,0.58,6.167,3.0334,396.9,18.71,35820
4.03841,0.532,6.229,3.0993,395.33,22.13,35280
3.56868,0.58,6.437,2.8965,393.37,20.64,41760
4.64689,0.614,6.98,2.5329,374.68,23.34,53640
8.05579,0.584,5.427,2.4298,352.58,16.86,24840
6.39312,0.584,6.162,2.206,302.76,10.9,23940
4.87141,0.614,6.484,2.3053,396.21,16.32,30060
15.0234,0.614,5.304,2.1007,349.48,10.09,21600
10.233,0.614,6.185,2.1705,379.7,16.97,26280
14.3337,0.614,6.229,1.9512,383.32,21.89,38520
5.82401,0.532,6.242,3.4242,396.9,24.26,41400
5.70818,0.532,6.75,3.3317,393.07,27.26,42660
5.73116,0.532,7.061,3.4106,395.28,27.99,45000
2.81838,0.532,5.762,4.0983,392.92,24.58,39240
2.37857,0.583,5.871,3.724,370.73,21.66,37080
3.67367,0.583,6.312,3.9917,388.62,24.42,38160
5.69175,0.583,6.114,3.5459,392.68,20.02,34380
4.83567,0.583,5.905,3.1523,388.22,23.55,37080
0.15086,0.609,5.454,1.8209,395.09,16.94,27360
0.18337,0.609,5.414,1.7554,344.05,11.03,12600
0.20746,0.609,5.093,1.8226,318.43,5.32,14580
0.10574,0.609,5.983,1.8681,390.11,16.93,24480
0.11132,0.609,5.983,2.1099,396.9,21.65,36180
0.17331,0.585,5.707,2.3817,396.9,22.99,39240
0.27957,0.585,5.926,2.3817,396.9,21.41,44100
0.17899,0.585,5.67,2.7986,393.29,17.4,41580
0.2896,0.585,5.39,2.7986,396.9,13.86,35460
0.26838,0.585,5.794,2.8927,396.9,20.9,32940
0.23912,0.585,6.019,2.4091,396.9,22.08,38160
0.17783,0.585,5.569,2.3999,395.77,19.9,31500
0.22438,0.585,6.027,2.4982,396.9,20.67,30240
0.06263,0.573,6.593,2.4786,391.99,25.33,40320
0.04527,0.573,6.12,2.2875,396.9,25.92,37080
0.06076,0.573,6.976,2.1675,396.9,29.36,43020
0.10959,0.573,6.794,2.3889,393.45,28.52,39600
0.04741,0.573,6.03,2.505,396.9,27.12,21420
